Year,5-Year_MA,Month,Temperature_Values,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Avg_Seasonal_Temp
2010,1.7090685839883812,Feb,1.5826621556837202,0,0,0,1,1.5826621556837202
2011,1.720706435757587,Feb,1.4457923146647145,0,0,0,1,1.4457923146647145
2012,1.7276891468191107,Feb,1.33082164820875,0,0,0,1,1.33082164820875
2013,1.760275131772887,Feb,1.4622166955869955,0,0,0,1,1.4622166955869955
2014,1.7882059760189812,Feb,1.478641076509276,0,0,0,1,1.478641076509276
2015,1.8301022423881224,Feb,1.5114898383538373,0,0,0,1,1.5114898383538373
2016,1.9220412713648485,Feb,1.9987464723814974,0,0,0,1,1.9987464723814974
2017,2.0465662852953512,Feb,2.3491332653901513,0,0,0,1,2.3491332653901513
2018,2.1745826547566156,Feb,2.4750535191276364,0,0,0,1,2.4750535191276364
2019,2.318892016694768,Feb,2.6940452647580453,0,0,0,1,2.6940452647580453
2020,2.456218667571397,Feb,2.880188248543892,0,0,0,1,2.880188248543892
2021,2.5283733485404736,Feb,2.4805283127683966,0,0,0,1,2.4805283127683966
2022,2.5656144742019324,Feb,2.349133265390151,0,0,0,1,2.349133265390151
2023,2.6203123775172,Feb,2.4148307890792737,0,0,0,1,2.4148307890792737
2024,2.6831567770709115,Feb,2.683095677476525,0,0,0,1,2.683095677476525
1880,-0.6406136882142807,Mar,-0.3992131422714801,0,1,0,0,-0.3992131422714801
1881,-0.5824244293682513,Mar,-0.24865631715057399,0,1,0,0,-0.24865631715057399
1882,-0.556562536547794,Mar,-0.18022139664107123,0,1,0,0,-0.18022139664107123
1883,-0.5521175237192778,Mar,-0.26234330125247457,0,1,0,0,-0.26234330125247457
1884,-0.5663254010875166,Mar,-0.44301149139756185,0,1,0,0,-0.44301149139756185
1885,-0.5814546083874843,Mar,-0.5415577769312458,0,1,0,0,-0.5415577769312458
1886,-0.6454627931181164,Mar,-0.787923490765456,0,1,0,0,-0.787923490765456
1887,-0.7424448911948319,Mar,-1.0069152363958647,0,1,0,0,-1.0069152363958647
1888,-0.8326382424061773,Mar,-1.1656842519779111,0,1,0,0,-1.1656842519779111
1889,-0.8850085753676036,Mar,-0.9302681254252215,0,1,0,0,-0.9302681254252215
1890,-0.921085915852142,Mar,-1.0069152363958647,0,1,0,0,-1.0069152363958647
1891,-0.921085915852142,Mar,-0.8700453953768591,0,1,0,0,-0.8700453953768591
1892,-0.8815172198368421,Mar,-0.8919445699399001,0,1,0,0,-0.8919445699399001
1893,-0.8582415162984303,Mar,-0.7879234907654559,0,1,0,0,-0.7879234907654559
1894,-0.8791896494830008,Mar,-0.9521672999882624,0,1,0,0,-0.9521672999882624
1895,-0.8826810050137625,Mar,-0.9083689508621806,0,1,0,0,-0.9083689508621806
1896,-0.8838447901906831,Mar,-0.9576420936290226,0,1,0,0,-0.9576420936290226
1897,-0.8768620791291596,Mar,-0.815297458969257,0,1,0,0,-0.815297458969257
1898,-0.8489312348830655,Mar,-0.9740664745513034,0,1,0,0,-0.9740664745513034
1899,-0.7825954797985921,Mar,-1.045238791881186,0,1,0,0,-1.045238791881186
1900,-0.7150959395371982,Mar,-0.8645706017360989,0,1,0,0,-0.8645706017360989
1901,-0.6650531769296131,Mar,-0.6893772052317717,0,1,0,0,-0.6893772052317717
1902,-0.6534153251604071,Mar,-0.7660243162024151,0,1,0,0,-0.7660243162024151
1903,-0.6580704658680895,Mar,-0.6127300942611288,0,1,0,0,-0.6127300942611288
1904,-0.712768369183357,Mar,-0.6893772052317719,0,1,0,0,-0.6893772052317719
1905,-0.8047073981600833,Mar,-0.8098226653284969,0,1,0,0,-0.8098226653284969
1906,-0.8989739974906509,Mar,-0.935742919065982,0,1,0,0,-0.935742919065982
1907,-0.985094100582774,Mar,-0.9247933317844614,0,1,0,0,-0.9247933317844614
1908,-1.0653952777902944,Mar,-1.0999867282887885,0,1,0,0,-1.0999867282887885
1909,-1.1119466848671178,Mar,-1.1218859028518295,0,1,0,0,-1.1218859028518295
1910,-1.1573343067670208,Mar,-1.280654918433876,0,1,0,0,-1.280654918433876
1911,-1.221342491497653,Mar,-1.5160710449865655,0,1,0,0,-1.5160710449865655
1912,-1.271385254105238,Mar,-1.581768568675688,0,1,0,0,-1.581768568675688
1913,-1.3062988094128556,Mar,-1.5105962513458049,0,1,0,0,-1.5105962513458049
1914,-1.3016436687051733,Mar,-1.3463524421229986,0,1,0,0,-1.3463524421229986
1915,-1.243454409859144,Mar,-1.1273606964925895,0,1,0,0,-1.1273606964925895
1916,-1.1515153808824177,Mar,-0.9521672999882624,0,1,0,0,-0.9521672999882624
1917,-1.072377988851818,Mar,-1.0890371410072681,0,1,0,0,-1.0890371410072681
1918,-0.9967319523519798,Mar,-0.9904908554735841,0,1,0,0,-0.9904908554735841
1919,-0.9734562488135682,Mar,-0.9740664745513034,0,1,0,0,-0.9740664745513034
1920,-0.999059522705821,Mar,-0.985016061832824,0,1,0,0,-0.985016061832824
1921,-1.0118611596519476,Mar,-0.9521672999882627,0,1,0,0,-0.9521672999882627
1922,-0.9944043819981386,Mar,-0.6893772052317719,0,1,0,0,-0.6893772052317719
1923,-0.979275174698171,Mar,-0.738650347998614,0,1,0,0,-0.738650347998614
1924,-0.9490167600982358,Mar,-0.667478030668731,0,1,0,0,-0.667478030668731
1925,-0.8966464271368095,Mar,-0.7441251416393742,0,1,0,0,-0.7441251416393742
1926,-0.855913945944589,Mar,-0.5579821578535267,0,1,0,0,-0.5579821578535267
1927,-0.8268193165215746,Mar,-0.6893772052317719,0,1,0,0,-0.6893772052317719
1928,-0.7930695463908775,Mar,-0.6401040624649299,0,1,0,0,-0.6401040624649299
1929,-0.7709576280293863,Mar,-0.7714991098431753,0,1,0,0,-0.7714991098431753
1930,-0.7488457096678952,Mar,-0.6839024115910117,0,1,0,0,-0.6839024115910117
1931,-0.7348802875448481,Mar,-0.8043478716877367,0,1,0,0,-0.8043478716877367
1932,-0.7220786505987217,Mar,-0.6893772052317719,0,1,0,0,-0.6893772052317719
1933,-0.726733791306404,Mar,-0.7112763797948128,0,1,0,0,-0.7112763797948128
1934,-0.692984021175707,Mar,-0.6893772052317719,0,1,0,0,-0.6893772052317719
1935,-0.6708721028142159,Mar,-0.7058015861540526,0,1,0,0,-0.7058015861540526
1936,-0.6557428955142481,Mar,-0.7605495225616549,0,1,0,0,-0.7605495225616549
1937,-0.6324671919758366,Mar,-0.7714991098431753,0,1,0,0,-0.7714991098431753
1938,-0.5672952220682838,Mar,-0.5579821578535266,0,1,0,0,-0.5579821578535266
1939,-0.5184162446376193,Mar,-0.49775942780516413,0,1,0,0,-0.49775942780516413
1940,-0.42764100083781353,Mar,-0.3718391740676791,0,1,0,0,-0.3718391740676791
1941,-0.2926419203150256,Mar,-0.20212057120411217,0,1,0,0,-0.20212057120411217
1942,-0.16229798049992003,Mar,-0.06525073018510662,0,1,0,0,-0.06525073018510662
1943,-0.05406595904630558,Mar,-0.14189784115574972,0,1,0,0,-0.14189784115574972
1944,0.0681314845303559,Mar,0.09899307903770002,0,1,0,0,0.09899307903770002
1945,0.14959644691479687,Mar,0.08256869811541934,0,1,0,0,0.08256869811541934
1946,0.16356186903784395,Mar,0.033295555348577345,0,1,0,0,0.033295555348577345
